id,bank,sentiment,text,,,,,,,,,,,,,
1,cimb,0,Dapat sampul duit raya dari member kerja CIMB Bank https://t.co/o96536Uf0U,,,,,,,,,,,,,
3,cimb,-1,@mardhiah_me Baru eh? Sebelum ni saya bukak cimb ok aje,,,,,,,,,,,,,
6,cimb,0,13/06/60 öŸçöŸ_ öŸÖöŸ»öŸ_öŸ‹öŸ_öŸ£ CIMB Thai öŸÈöŸ_öŸ»öŸ±öŸöŸˆöŸ_öŸ»ö_€öŸ‚öŸö_š öŸšöŸ±öŸîöŸöŸ_öŸ£ö_óöŸˆöŸÇöŸ» ö_öŸ_öŸÁöŸöŸ£öŸ_öŸ_öŸÂöŸ_öŸ«öŸ„ö_ŠöŸ_öŸ_öŸçöŸ‚öŸ_öŸ_öŸ£öŸ‚öŸç ö_óöŸ_öŸ‡ö_šöŸ_öŸ‹öŸ_öŸ_öŸçö_óöŸ_ö_ˆöŸ»öŸÂöŸÇöŸ£öŸÇöŸçöŸˆöŸ‹öŸ« ö_óöŸ„öŸ_öŸìöŸ_ö_ŠöŸÈöŸ£ö_ŠöŸ_öŸˆöŸˆöŸ_öŸ»ö_óöŸˆöŸÇöŸ»äó_ https://t.co/YwoHNExkST,,,,,,,,,,,,,
8,cimb,-1,wow cimb clicks dah lawo sekarang. cuma isi account aku yang tak berapa nak lawo.,,,,,,,,,,,,,
9,cimb,0,CIMB teams up with Lazada to offer prepaid Mastercard - The Edge Markets https://t.co/V5Z9sajCQ3,,,,,,,,,,,,,
13,cimb,0,Tapi kenapa cimb approve cuti raya saya 2 hari j,,,,,,,,,,,,,
16,cimb,0,"Kalau better, mungkin aku tamatkan je karier kat cimb dan beralih arah. Ya Allah mohon petunjuk la. Debor jantung aäó_ https://t.co/ImHPFNmhyn",,,,,,,,,,,,,
18,cimb,0,With all staf cimb niaga  at RM Kartika Sumedang äóî https://t.co/2Ust9w4jq4,,,,,,,,,,,,,
19,cimb,0,PARADISE DYNASTY Discount 20% with CIMB Niaga Credit Cards + Save Up to 25% with Point Extra https://t.co/vClmAVWFFp,,,,,,,,,,,,,
21,cimb,0,PUYO DESSERT Promo FREE Silky Dessert dengan Kartu Kredit CIMB NIAGA https://t.co/apQEWM3YuE,,,,,,,,,,,,,
